home_id,bed_capacity,base_occupancy_rate
h001,70,0.9114308223372166
h002,30,0.9166867678640467
h003,40,0.8317853575563632
h004,40,0.8509703994414773
h005,40,0.9288253992684807
h006,70,0.8029840292408006
h007,40,0.8744461598059633
h008,40,0.906915732700134
h009,50,0.8779638431056732
h010,40,0.8516027601649523
h011,60,0.869066411229606
h012,50,0.8371531266545835
h013,50,0.8767888118878787
h014,60,0.8782927949235207
h015,60,0.8759610277923229
h016,80,0.9125583970608377
h017,50,0.918442958777543
h018,60,0.92567404890942
h019,50,0.8234477823385382
h020,60,0.8274206076238801
h021,50,0.911914084924576
h022,30,0.8780730255918778
h023,30,0.7864388987077495
h024,60,0.906137534935536
h025,40,0.863110184703204
h026,50,0.918187385868134
h027,60,0.9015270480069504
h028,40,0.8983604039013731
h029,30,0.7930045634281303
h030,60,0.828401968812536
h031,60,0.91860532165756
h032,40,0.9261219008203276
h033,40,0.8549743240307612
h034,60,0.8747849183255343
h035,70,0.9090814677699165
h036,40,0.8583395664325553
h037,40,0.784328717476083
h038,30,0.8797736845884039
h039,70,0.9169523368901502
h040,50,0.7963858691013871
h041,40,0.9160445487438342
h042,50,0.9071973834636999
h043,60,0.8997395569214512
h044,50,0.8596445068931845
h045,50,0.8998309957295999
h046,50,0.8509870682378519
h047,40,0.8302168214750193
h048,40,0.8676325226629829
h049,60,0.800948261815399
h050,40,0.9121540023146508
