home_id,date,shift,staff_hours,required_hours,staff_cost
h001,2026-01-01,morning,159.7,153.6,1996.3
h001,2026-01-01,afternoon,139.74,134.4,1746.76
h001,2026-01-01,night,99.81,96.0,1247.68
h002,2026-01-01,morning,66.46,67.2,830.71
h002,2026-01-01,afternoon,58.15,58.8,726.87
h002,2026-01-01,night,41.54,42.0,519.19
h003,2026-01-01,morning,83.3,79.2,1041.3
h003,2026-01-01,afternoon,72.89,69.3,911.13
h003,2026-01-01,night,52.06,49.5,650.81
h004,2026-01-01,morning,91.54,81.6,1144.28
h004,2026-01-01,afternoon,80.1,71.4,1001.24
h004,2026-01-01,night,57.21,51.0,715.17
h005,2026-01-01,morning,87.14,88.8,1089.21
h005,2026-01-01,afternoon,76.24,77.7,953.06
h005,2026-01-01,night,54.46,55.5,680.75
h006,2026-01-01,morning,131.88,134.4,1648.53
h006,2026-01-01,afternoon,115.4,117.6,1442.47
h006,2026-01-01,night,82.43,84.0,1030.33
h007,2026-01-01,morning,94.61,84.0,1182.65
h007,2026-01-01,afternoon,82.79,73.5,1034.82
h007,2026-01-01,night,59.13,52.5,739.16
h008,2026-01-01,morning,91.7,86.4,1146.31
h008,2026-01-01,afternoon,80.24,75.6,1003.02
h008,2026-01-01,night,57.32,54.0,716.44
h009,2026-01-01,morning,101.63,105.6,1270.42
h009,2026-01-01,afternoon,88.93,92.4,1111.62
h009,2026-01-01,night,63.52,66.0,794.01
h010,2026-01-01,morning,85.14,81.6,1064.27
h010,2026-01-01,afternoon,74.5,71.4,931.24
h010,2026-01-01,night,53.21,51.0,665.17
h011,2026-01-01,morning,120.17,124.8,1502.17
h011,2026-01-01,afternoon,105.15,109.2,1314.39
h011,2026-01-01,night,75.11,78.0,938.85
h012,2026-01-01,morning,97.04,100.8,1213.05
h012,2026-01-01,afternoon,84.91,88.2,1061.42
h012,2026-01-01,night,60.65,63.0,758.16
h013,2026-01-01,morning,107.64,105.6,1345.55
h013,2026-01-01,afternoon,94.19,92.4,1177.36
h013,2026-01-01,night,67.28,66.0,840.97
h014,2026-01-01,morning,107.73,127.2,1346.63
h014,2026-01-01,afternoon,94.26,111.3,1178.3
h014,2026-01-01,night,67.33,79.5,841.64
h015,2026-01-01,morning,109.65,127.2,1370.59
h015,2026-01-01,afternoon,95.94,111.3,1199.27
h015,2026-01-01,night,68.53,79.5,856.62
h016,2026-01-01,morning,167.32,175.2,2091.49
h016,2026-01-01,afternoon,146.4,153.3,1830.05
h016,2026-01-01,night,104.57,109.5,1307.18
h017,2026-01-01,morning,101.45,110.4,1268.18
h017,2026-01-01,afternoon,88.77,96.6,1109.66
h017,2026-01-01,night,63.41,69.0,792.61
h018,2026-01-01,morning,137.78,134.4,1722.23
h018,2026-01-01,afternoon,120.56,117.6,1506.96
h018,2026-01-01,night,86.11,84.0,1076.4
h019,2026-01-01,morning,91.25,98.4,1140.65
h019,2026-01-01,afternoon,79.85,86.1,998.07
h019,2026-01-01,night,57.03,61.5,712.91
h020,2026-01-01,morning,106.44,120.0,1330.52
h020,2026-01-01,afternoon,93.14,105.0,1164.21
h020,2026-01-01,night,66.53,75.0,831.58
h021,2026-01-01,morning,123.34,110.4,1541.81
h021,2026-01-01,afternoon,107.93,96.6,1349.08
h021,2026-01-01,night,77.09,69.0,963.63
h022,2026-01-01,morning,61.27,62.4,765.91
h022,2026-01-01,afternoon,53.61,54.6,670.17
h022,2026-01-01,night,38.3,39.0,478.69
h023,2026-01-01,morning,57.91,57.6,723.89
h023,2026-01-01,afternoon,50.67,50.4,633.4
h023,2026-01-01,night,36.19,36.0,452.43
h024,2026-01-01,morning,114.83,129.6,1435.35
h024,2026-01-01,afternoon,100.47,113.4,1255.93
h024,2026-01-01,night,71.77,81.0,897.1
h025,2026-01-01,morning,80.34,84.0,1004.27
h025,2026-01-01,afternoon,70.3,73.5,878.74
h025,2026-01-01,night,50.21,52.5,627.67
h026,2026-01-01,morning,111.38,110.4,1392.25
h026,2026-01-01,afternoon,97.46,96.6,1218.22
h026,2026-01-01,night,69.61,69.0,870.15
h027,2026-01-01,morning,117.67,129.6,1470.83
h027,2026-01-01,afternoon,102.96,113.4,1286.98
h027,2026-01-01,night,73.54,81.0,919.27
h028,2026-01-01,morning,89.0,86.4,1112.46
h028,2026-01-01,afternoon,77.87,75.6,973.4
h028,2026-01-01,night,55.62,54.0,695.29
h029,2026-01-01,morning,54.83,57.6,685.4
h029,2026-01-01,afternoon,47.98,50.4,599.73
h029,2026-01-01,night,34.27,36.0,428.38
h030,2026-01-01,morning,117.2,120.0,1465.0
h030,2026-01-01,afternoon,102.55,105.0,1281.87
h030,2026-01-01,night,73.25,75.0,915.62
h031,2026-01-01,morning,125.65,132.0,1570.57
h031,2026-01-01,afternoon,109.94,115.5,1374.25
h031,2026-01-01,night,78.53,82.5,981.61
h032,2026-01-01,morning,101.96,88.8,1274.48
h032,2026-01-01,afternoon,89.21,77.7,1115.17
h032,2026-01-01,night,63.72,55.5,796.55
h033,2026-01-01,morning,81.51,81.6,1018.9
h033,2026-01-01,afternoon,71.32,71.4,891.54
h033,2026-01-01,night,50.94,51.0,636.81
h034,2026-01-01,morning,114.24,124.8,1428.0
h034,2026-01-01,afternoon,99.96,109.2,1249.5
h034,2026-01-01,night,71.4,78.0,892.5
h035,2026-01-01,morning,163.71,153.6,2046.34
h035,2026-01-01,afternoon,143.24,134.4,1790.55
h035,2026-01-01,night,102.32,96.0,1278.96
h036,2026-01-01,morning,73.63,81.6,920.38
h036,2026-01-01,afternoon,64.43,71.4,805.33
h036,2026-01-01,night,46.02,51.0,575.24
h037,2026-01-01,morning,75.64,74.4,945.54
h037,2026-01-01,afternoon,66.19,65.1,827.35
h037,2026-01-01,night,47.28,46.5,590.96
h038,2026-01-01,morning,52.62,62.4,657.72
h038,2026-01-01,afternoon,46.04,54.6,575.5
h038,2026-01-01,night,32.89,39.0,411.07
h039,2026-01-01,morning,137.28,153.6,1715.99
h039,2026-01-01,afternoon,120.12,134.4,1501.49
h039,2026-01-01,night,85.8,96.0,1072.49
h040,2026-01-01,morning,97.51,96.0,1218.9
h040,2026-01-01,afternoon,85.32,84.0,1066.54
h040,2026-01-01,night,60.94,60.0,761.81
h041,2026-01-01,morning,94.05,88.8,1175.58
h041,2026-01-01,afternoon,82.29,77.7,1028.63
h041,2026-01-01,night,58.78,55.5,734.73
h042,2026-01-01,morning,109.48,108.0,1368.51
h042,2026-01-01,afternoon,95.8,94.5,1197.44
h042,2026-01-01,night,68.43,67.5,855.32
h043,2026-01-01,morning,128.4,129.6,1605.01
h043,2026-01-01,afternoon,112.35,113.4,1404.39
h043,2026-01-01,night,80.25,81.0,1003.13
h044,2026-01-01,morning,100.71,103.2,1258.93
h044,2026-01-01,afternoon,88.12,90.3,1101.56
h044,2026-01-01,night,62.95,64.5,786.83
h045,2026-01-01,morning,95.23,108.0,1190.32
h045,2026-01-01,afternoon,83.32,94.5,1041.53
h045,2026-01-01,night,59.52,67.5,743.95
